"flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn","timestamp","timestamp_local","url"
24,653.2,35.9,689.1,667.2,0.599999999999909,667.8,1645.9,0.899999999999864,1646.8,1646.7,4.60000000000014,1651.4,42.329,-71.087,49.9,15.9,0,0,196.5,0,0,0,2.8647,0.2109,0,0,0,0,0,0,0,0,NA,NA,0.1101,NA,NA,NA,NA,0.0254,0.0294,0.0294,0.0042,0.0041,0.0042,0.0042,0.52,3.26,1.16,"MOD-00025","2022-09-29T23:59:37","2022-09-29T19:59:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028469"
24,652.6,35.4,688,667.8,0.300000000000068,668.1,1646,1.09999999999991,1647.1,1646.6,4.70000000000005,1651.8,42.329,-71.087,50,15.9,0,0,197.25,0,0.1,0,2.5636,0.2135,0.004,0,0,0,0,0,0,0,NA,NA,0.0909,NA,NA,NA,NA,0.0161,0.012,0.0293,0.0163,0.0041,0,0,0.45,3.43,1.1,"MOD-00025","2022-09-29T23:58:37","2022-09-29T19:58:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028468"
24,650.7,36.1999999999999,686.9,667.8,0.5,668.3,1646.2,0.599999999999909,1646.8,1646.5,4.70000000000005,1651.5,42.329,-71.087,49.5,16,0,0,197.375,0,0.2,0,2.3568,0.2051,0,0,0,0,0,0,0,0,NA,NA,0.0907,NA,NA,NA,NA,0.0196,0.0315,0.0159,0.0158,0.0079,0.0039,0.0039,0.44,3.47,1.15,"MOD-00025","2022-09-29T23:57:37","2022-09-29T19:57:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028145"
24,652,35.2,687.2,667.8,0.700000000000045,668.5,1645.9,0.799999999999955,1646.7,1646.6,4.59999999999991,1651.3,42.329,-71.087,49.8,16,0,0,189.25,0,0.1,0.1,2.468,0.1971,0.0039,0.0041,0.0039,0,0,0,0,0,NA,NA,0.0725,NA,NA,NA,NA,0.0282,0.0241,0.0158,0.0041,0.0118,0.012,0,0.44,10.46,1.09,"MOD-00025","2022-09-29T23:56:37","2022-09-29T19:56:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028144"
24,653.8,34.9000000000001,688.7,667.3,0.700000000000045,668,1646.1,0.800000000000182,1646.9,1646.6,4.5,1651.4,42.329,-71.087,49.9,16,0,0,135.125,0,0.4,0,2.569,0.2514,0,0,0,0,0,0,0,0,NA,NA,0.09,NA,NA,NA,NA,0.0168,0.0256,0.0127,0.0086,0.0042,0,0.0085,0.47,3.63,0.96,"MOD-00025","2022-09-29T23:55:37","2022-09-29T19:55:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028143"
24,653.1,35.5,688.6,668,0.700000000000045,668.7,1646.3,1.10000000000014,1647.4,1646.5,4.5,1651.9,42.329,-71.087,50,16,0,0,193.625,0,0.2,0,2.9535,0.2133,0,0,0,0,0,0,0,0,NA,NA,0.0785,NA,NA,NA,NA,0.0131,0.0175,0.0219,0.0174,0.0131,0.0044,0.0087,0.49,5.26,1.3,"MOD-00025","2022-09-29T23:54:37","2022-09-29T19:54:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028142"
24,651.6,36.6999999999999,688.3,667.9,0.800000000000068,668.7,1646,1.20000000000005,1647.2,1646.8,4.39999999999986,1651.6,42.329,-71.087,49.5,16,0,0,189.125,0,0,0,2.6563,0.268,0,0.0043,0,0,0,0,0,0,NA,NA,0.0859,NA,NA,NA,NA,0.0256,0.0258,0.0214,0,0.0086,0,0.0083,0.49,6.39,1.02,"MOD-00025","2022-09-29T23:53:37","2022-09-29T19:53:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16028141"
24,651.8,38.6,690.4,668.3,1.10000000000002,669.4,1645.9,1.5,1647.4,1646.8,4.09999999999991,1651.5,42.329,-71.087,49.7,16,0,0,203.25,0,0.2,0.2,2.7151,0.2157,0.0041,0,0,0,0,0,0,0,NA,NA,0.095,NA,NA,NA,NA,0.0331,0.021,0.0124,0.0164,0.0041,0.0042,0.0042,0.49,5.12,1.12,"MOD-00025","2022-09-29T23:52:37","2022-09-29T19:52:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027833"
24,651.1,38.6,689.7,667.4,1.10000000000002,668.5,1646.1,1.10000000000014,1647.2,1646.6,4.20000000000005,1651.4,42.329,-71.087,50,16,0,0,207.625,0,0.5,0.4,2.7392,0.2147,0,0.0045,0,0,0,0,0,0,NA,NA,0.0861,NA,NA,NA,NA,0.0305,0.0298,0.0596,0.0131,0,0.0042,0,0.52,5.19,1.46,"MOD-00025","2022-09-29T23:51:37","2022-09-29T19:51:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027832"
24,652.2,38.5999999999999,690.8,668.7,0.899999999999977,669.6,1646.1,1.60000000000014,1647.7,1646.8,4.20000000000005,1651.9,42.329,-71.087,50.1,16.1,0,0,195.125,0,0.6,0.6,2.6456,0.2326,0,0,0,0,0,0,0,0,NA,NA,0.1088,NA,NA,NA,NA,0.008,0.0121,0.0242,0.012,0.004,0.0079,0,0.47,2.66,1.08,"MOD-00025","2022-09-29T23:50:37","2022-09-29T19:50:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027831"
24,651.7,40.0999999999999,691.8,667,1.60000000000002,668.6,1646.3,1.60000000000014,1647.9,1646.7,3.79999999999995,1651.7,42.329,-71.087,50.2,16.1,0,0,200,0,0.4,0.4,2.3986,0.301,0.0079,0,0,0,0,0,0,0,NA,NA,0.0961,NA,NA,NA,NA,0.0281,0.0162,0.0159,0.016,0,0.012,0,0.47,6.43,1.1,"MOD-00025","2022-09-29T23:49:37","2022-09-29T19:49:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027830"
24,652.2,40,692.2,667.8,2.90000000000009,670.7,1646.1,2.60000000000014,1648.7,1646.6,3.29999999999995,1652,42.329,-71.087,50.4,16.1,0,0,223.25,0,0.8,0.4,2.6284,0.239,0.0039,0.008,0,0,0,0,0,0,NA,NA,0.0814,NA,NA,NA,NA,0.0242,0.0407,0.012,0.0085,0.0124,0.0039,0,0.48,9.12,1.16,"MOD-00025","2022-09-29T23:48:37","2022-09-29T19:48:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027829"
24,652.4,41.9,694.3,667.3,4.20000000000005,671.5,1646.1,2.80000000000018,1648.9,1646.8,3,1651.9,42.329,-71.087,50.5,16.1,0,0,216.375,0,0.2,0.2,2.5935,0.3544,0,0,0,0,0,0,0,0,NA,NA,0.1163,NA,NA,NA,NA,0.0276,0.0235,0.0197,0.0196,0.0232,0,0.004,0.53,4.21,1.49,"MOD-00025","2022-09-29T23:47:37","2022-09-29T19:47:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027516"
24,651.9,46.7,698.6,667.8,4.10000000000002,671.9,1646.2,2.59999999999991,1648.8,1646.7,2.90000000000009,1651.7,42.329,-71.087,51,16.1,0,0,223.125,0,1.4,0.6,2.8368,0.238,0.004,0,0,0,0,0,0,0,NA,NA,0.1016,NA,NA,NA,NA,0.0195,0.0194,0.0196,0.0156,0.0194,0,0,0.5,4.39,1.31,"MOD-00025","2022-09-29T23:46:37","2022-09-29T19:46:37","https://api.quant-aq.com/device-api/v1/devices/MOD-00025/data/raw/16027515"
