"flag","geo.lat","geo.lon","met.rh","met.temp","neph.bin0","neph.bin1","neph.bin2","neph.bin3","neph.bin4","neph.bin5","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","opc.rh","opc.temp","sn","timestamp","timestamp_local","url"
0, 42.324,-71.089,75.22,20.86,599.625,146.875, 16.750,  3.250,  0.500,  0.500,  1.750,  3.625,  3.125, 5.9971, 0.7253, 0.0213, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3863, 0.0000, 0.0000, 0.0000, 0.0000, 0.1072, 0.2181, 0.1713, 0.0783, 0.0355, 0.0215, 0.0213, 1.5400,27.7700, 6.1300, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:59:41","2022-09-25T19:59:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186516837"
0, 42.324,-71.089,75.27,20.87,607.875,168.750, 33.000,  2.500,  0.000,  0.000,  2.250,  4.500,  4.500, 5.9202, 0.6710, 0.0037, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3848, 0.0000, 0.0000, 0.0000, 0.0000, 0.1264, 0.1831, 0.2017, 0.1030, 0.0320, 0.0562, 0.0108, 1.5300,25.3600, 6.7900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:58:41","2022-09-25T19:58:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186516836"
0, 42.324,-71.089,75.27,20.87,607.875,168.750, 33.000,  2.500,  0.000,  0.000,  2.250,  4.500,  4.500, 5.9202, 0.6710, 0.0037, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3848, 0.0000, 0.0000, 0.0000, 0.0000, 0.1264, 0.1831, 0.2017, 0.1030, 0.0320, 0.0562, 0.0108, 1.5300,25.3600, 6.7900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:58:41","2022-09-25T19:58:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186516835"
0, 42.324,-71.089,75.22,20.86,663.000,166.250, 22.250,  1.500,  0.500,  0.000,  2.000,  4.000,  3.625, 5.6439, 0.6846, 0.0000, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2916, 0.0000, 0.0000, 0.0000, 0.0000, 0.1122, 0.1421, 0.1972, 0.1057, 0.0273, 0.0337, 0.0242, 1.3900,23.2200, 6.2000, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:57:41","2022-09-25T19:57:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515161"
0, 42.324,-71.089,75.23,20.86,552.750,127.750, 15.750,  2.750,  1.000,  1.000,  1.750,  3.375,  2.625, 5.6009, 0.6209, 0.0137, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3578, 0.0000, 0.0000, 0.0000, 0.0000, 0.0895, 0.1487, 0.2033, 0.1387, 0.0308, 0.0347, 0.0099, 1.4000,26.8400, 6.7200, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:56:41","2022-09-25T19:56:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515159"
0, 42.324,-71.089,75.24,20.86,498.375,121.375, 17.750,  6.000,  0.000,  0.000,  1.125,  3.125,  2.875, 5.9134, 0.7223, 0.0101, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3779, 0.0000, 0.0000, 0.0000, 0.0000, 0.1540, 0.1959, 0.1819, 0.0959, 0.0479, 0.0208, 0.0103, 1.5600,23.4700, 6.5300, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:55:41","2022-09-25T19:55:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515158"
0, 42.324,-71.089,75.20,20.86,541.125,148.250, 23.750,  5.500,  2.250,  0.000,  1.875,  5.000,  3.625, 5.5609, 0.7412, 0.0035, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2891, 0.0000, 0.0000, 0.0000, 0.0000, 0.1272, 0.1582, 0.1789, 0.0925, 0.0277, 0.0446, 0.0239, 1.4100,25.7800, 6.1000, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:54:41","2022-09-25T19:54:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515156"
0, 42.324,-71.089,75.24,20.86,612.750,157.500, 24.250,  5.500,  2.500,  0.000,  2.125,  5.375,  3.875, 5.3968, 0.6645, 0.0000, 0.0000, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3194, 0.0000, 0.0000, 0.0000, 0.0000, 0.1228, 0.2096, 0.1992, 0.0700, 0.0264, 0.0298, 0.0101, 1.4300,18.4700, 5.9800, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:53:41","2022-09-25T19:53:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515155"
0, 42.324,-71.089,75.24,20.86,612.750,157.500, 24.250,  5.500,  2.500,  0.000,  2.125,  5.375,  3.875, 5.3968, 0.6645, 0.0000, 0.0000, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3194, 0.0000, 0.0000, 0.0000, 0.0000, 0.1228, 0.2096, 0.1992, 0.0700, 0.0264, 0.0298, 0.0101, 1.4300,18.4700, 5.9800, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:53:41","2022-09-25T19:53:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186515153"
0, 42.324,-71.089,75.24,20.86,649.500,176.500, 40.000, 13.750,  0.750,  0.000,  2.500,  7.125,  6.750, 5.7354, 0.6682, 0.0101, 0.0070, 0.0032, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3771, 0.0000, 0.0000, 0.0000, 0.0000, 0.1254, 0.1690, 0.1850, 0.0967, 0.0386, 0.0423, 0.0102, 1.4700,30.1700, 6.4100, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:52:41","2022-09-25T19:52:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513420"
0, 42.324,-71.089,75.27,20.86,537.375,143.125, 23.250,  1.500,  0.000,  0.000,  1.875,  3.625,  3.625, 5.9302, 0.7016, 0.0033, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3586, 0.0000, 0.0000, 0.0000, 0.0000, 0.1296, 0.1511, 0.1785, 0.0756, 0.0443, 0.0445, 0.0205, 1.4700,25.4500, 6.1400, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:51:41","2022-09-25T19:51:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513419"
0, 42.324,-71.089,75.28,20.86,638.250,186.750, 36.250,  3.750,  1.000,  0.000,  3.000,  5.875,  5.250, 5.5869, 0.6535, 0.0033, 0.0000, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3037, 0.0000, 0.0000, 0.0000, 0.0000, 0.1218, 0.1684, 0.2086, 0.1249, 0.0238, 0.0271, 0.0068, 1.4200,20.1000, 6.5200, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:50:41","2022-09-25T19:50:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513418"
0, 42.324,-71.089,75.31,20.85,582.000,164.250, 25.500,  5.750,  0.500,  0.000,  1.875,  4.000,  3.750, 5.2852, 0.5771, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2769, 0.0000, 0.0000, 0.0000, 0.0000, 0.1123, 0.1715, 0.1321, 0.1251, 0.0232, 0.0362, 0.0232, 1.3000,20.8500, 5.8800, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:49:41","2022-09-25T19:49:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513417"
0, 42.324,-71.089,75.23,20.85,561.375,146.500, 31.500,  6.000,  0.500,  0.500,  1.875,  4.625,  3.625, 6.0267, 0.7181, 0.0073, 0.0069, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2914, 0.0000, 0.0000, 0.0000, 0.0000, 0.1136, 0.1828, 0.1531, 0.1071, 0.0145, 0.0348, 0.0181, 1.4500,25.9100, 5.8900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:48:41","2022-09-25T19:48:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513416"
0, 42.324,-71.089,75.23,20.85,561.375,146.500, 31.500,  6.000,  0.500,  0.500,  1.875,  4.625,  3.625, 6.0267, 0.7181, 0.0073, 0.0069, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2914, 0.0000, 0.0000, 0.0000, 0.0000, 0.1136, 0.1828, 0.1531, 0.1071, 0.0145, 0.0348, 0.0181, 1.4500,25.9100, 5.8900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:48:41","2022-09-25T19:48:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186513414"
0, 42.324,-71.089,75.26,20.85,759.750,194.125, 23.500,  3.750,  0.500,  0.500,  3.125,  4.875,  4.500, 5.9980, 0.7067, 0.0070, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3159, 0.0000, 0.0000, 0.0000, 0.0000, 0.0937, 0.1475, 0.1595, 0.0903, 0.0345, 0.0271, 0.0135, 1.4100,19.9400, 5.6900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:47:41","2022-09-25T19:47:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511825"
0, 42.324,-71.089,75.24,20.85,690.375,188.625, 31.500,  3.000,  0.500,  0.000,  3.250,  4.875,  4.500, 5.7251, 0.6752, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3527, 0.0000, 0.0000, 0.0000, 0.0000, 0.0961, 0.1413, 0.2006, 0.0972, 0.0284, 0.0138, 0.0207, 1.4200,18.8400, 5.9500, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:46:41","2022-09-25T19:46:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511824"
0, 42.324,-71.089,75.26,20.85,611.625,163.250, 19.750,  3.250,  0.000,  0.000,  2.125,  3.250,  3.250, 5.6843, 0.6165, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3334, 0.0000, 0.0000, 0.0000, 0.0000, 0.0972, 0.1770, 0.2289, 0.1044, 0.0139, 0.0312, 0.0138, 1.4300,19.1600, 6.3900, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:45:41","2022-09-25T19:45:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511823"
0, 42.324,-71.089,75.28,20.85,564.000,144.750, 26.500,  4.000,  0.750,  0.000,  1.500,  3.750,  3.375, 5.8385, 0.6452, 0.0034, 0.0067, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2863, 0.0000, 0.0000, 0.0000, 0.0000, 0.1295, 0.1737, 0.1773, 0.0985, 0.0512, 0.0172, 0.0275, 1.4200,26.6000, 6.3200, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:44:41","2022-09-25T19:44:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511822"
0, 42.324,-71.089,75.28,20.85,630.750,176.625, 26.750,  1.750,  0.500,  0.000,  2.500,  4.000,  3.750, 5.8689, 0.6616, 0.0067, 0.0033, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3475, 0.0000, 0.0000, 0.0000, 0.0000, 0.1279, 0.1610, 0.1604, 0.0690, 0.0098, 0.0394, 0.0134, 1.4400,23.8300, 5.3500, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:43:41","2022-09-25T19:43:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511820"
0, 42.324,-71.089,75.28,20.85,630.750,176.625, 26.750,  1.750,  0.500,  0.000,  2.500,  4.000,  3.750, 5.8689, 0.6616, 0.0067, 0.0033, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3475, 0.0000, 0.0000, 0.0000, 0.0000, 0.1279, 0.1610, 0.1604, 0.0690, 0.0098, 0.0394, 0.0134, 1.4400,23.8300, 5.3500, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:43:41","2022-09-25T19:43:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186511821"
0, 42.324,-71.089,75.26,20.85,738.000,200.625, 30.250,  1.250,  0.500,  0.500,  3.125,  5.375,  5.000, 6.2602, 0.7692, 0.0035, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0000, 0.0000, 0.0000, 0.0000, 0.1018, 0.1188, 0.1355, 0.0715, 0.0171, 0.0338, 0.0137, 1.4300,19.4000, 4.9800, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:42:41","2022-09-25T19:42:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510114"
0, 42.324,-71.089,75.30,20.84,434.250,111.000, 19.000,  2.000,  0.000,  0.000,  1.500,  2.500,  2.500, 5.7862, 0.7039, 0.0097, 0.0000, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3406, 0.0000, 0.0000, 0.0000, 0.0000, 0.1024, 0.1615, 0.1223, 0.0658, 0.0264, 0.0431, 0.0099, 1.4000,23.1700, 5.1400, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:41:41","2022-09-25T19:41:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510110"
0, 42.324,-71.089,75.38,20.85,573.375,156.250, 29.750,  2.750,  1.750,  0.750,  2.125,  4.625,  3.375, 5.6865, 0.6492, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0721, 0.1492, 0.1313, 0.0714, 0.0395, 0.0132, 0.0034, 1.3100,12.9200, 4.9400, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:40:41","2022-09-25T19:40:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510109"
0, 42.324,-71.089,75.29,20.84,587.625,164.250, 23.250,  2.000,  0.000,  0.000,  2.500,  3.625,  3.625, 5.7585, 0.6492, 0.0137, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2379, 0.0000, 0.0000, 0.0000, 0.0000, 0.1114, 0.1583, 0.1948, 0.0980, 0.0355, 0.0842, 0.0034, 1.3600,29.1500, 6.6300, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:39:41","2022-09-25T19:39:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510108"
0, 42.324,-71.089,75.36,20.85,602.250,164.375, 29.000,  2.250,  0.000,  0.000,  2.000,  3.750,  3.750, 6.3955, 0.7888, 0.0035, 0.0036, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2826, 0.0000, 0.0000, 0.0000, 0.0000, 0.1260, 0.1796, 0.1728, 0.1056, 0.0344, 0.0314, 0.0106, 1.5300,21.4100, 6.3100, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:38:41","2022-09-25T19:38:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510106"
0, 42.324,-71.089,75.36,20.85,602.250,164.375, 29.000,  2.250,  0.000,  0.000,  2.000,  3.750,  3.750, 6.3955, 0.7888, 0.0035, 0.0036, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2826, 0.0000, 0.0000, 0.0000, 0.0000, 0.1260, 0.1796, 0.1728, 0.1056, 0.0344, 0.0314, 0.0106, 1.5300,21.4100, 6.3100, 0.0000, 0.0000,"MOD-PM-00217","2022-09-25T23:38:41","2022-09-25T19:38:41","https://api.quant-aq.com/device-api/v1/devices/MOD-PM-00217/data/raw/186510107"
