"","timestamp_local","flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn.x","timestamp.x","url.x","co","lat","lon","rh...58","temp...59","wd","ws","pm1...62","pm10...63","pm25...64","no","no2","o3","pm1...68","pm10...69","pm25...70","rh...71","sn.y","temp...73","timestamp.y","url.y"
"1","2022-07-19T20:00:25",2048,621.6,152.7,774.3,673,18.1,691.1,1646.2,-1,1645.2,1646.7,0.799999999999955,1646,NA,NA,49.1,26.5,0,0,289.375,0.4,3,3,5.6587,0.2068,0,0,0,0,0,0,0,0,NA,NA,0.0188,NA,NA,NA,NA,0.0094,0.0031,0.0064,0.0032,0,0,0,0.72,0.95,0.87,"MOD-00027","2022-07-20T00:00:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731112",615.03,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.75,11.21,15.73,1.02,1.14,1.1,49.1,"MOD-00027",26.5,"2022-07-20T00:00:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731060"
"2","2022-07-19T20:01:25",2048,621.4,152.6,774,673.6,18.1,691.7,1646.3,-1.09999999999991,1645.2,1646.3,0.799999999999955,1646,NA,NA,49.1,26.5,0,0,282.875,0.5,3.5,3,5.8867,0.2312,0,0,0,0,0,0,0,0,NA,NA,0.0316,NA,NA,NA,NA,0.0097,0,0,0,0,0,0,0.76,0.8,0.8,"MOD-00027","2022-07-20T00:01:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731459",614.62,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.75,9.66,15.73,1,1,1,49.1,"MOD-00027",26.5,"2022-07-20T00:01:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731407"
"3","2022-07-19T20:02:25",2048,622.5,151.6,774.1,674.2,17.9,692.1,1646.6,-1.29999999999995,1645.3,1646.5,0.799999999999955,1646.1,NA,NA,49.1,26.5,0,0,279.375,0.9,3.4,3.1,5.5602,0.2657,0,0,0,0,0,0,0,0,NA,NA,0.0224,NA,NA,NA,NA,0.0096,0.0064,0,0.0032,0,0,0,0.73,0.89,0.84,"MOD-00027","2022-07-20T00:02:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731460",610.52,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.6,8.49,15.73,0.99,1.07,1.03,49.1,"MOD-00027",26.5,"2022-07-20T00:02:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731408"
"4","2022-07-19T20:03:25",2048,621.2,152.5,773.7,673.7,18.0999999999999,691.8,1646.5,-1.29999999999995,1645.2,1646.3,0.799999999999955,1646,NA,NA,49.1,26.5,0,0,286,1.6,3.9,3.9,5.6837,0.308,0,0,0,0,0,0,0,0,NA,NA,0.0152,NA,NA,NA,NA,0.0092,0,0,0.0031,0,0.0029,0,0.75,1.3,0.85,"MOD-00027","2022-07-20T00:03:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731461",614.21,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.75,8.49,15.73,1.01,1.53,1.04,49.1,"MOD-00027",26.5,"2022-07-20T00:03:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731409"
"5","2022-07-19T20:04:25",2048,620.1,153.1,773.2,673.4,18.2,691.6,1646.3,-1.09999999999991,1645.2,1646.5,0.899999999999864,1646.1,NA,NA,49.1,26.5,0,0,299.875,1,3.9,3.4,5.475,0.2246,0,0,0,0,0,0,0,0,NA,NA,0.0241,NA,NA,NA,NA,0.0061,0.0031,0,0.006,0,0,0,0.71,0.93,0.83,"MOD-00027","2022-07-20T00:04:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731462",616.67,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.79,9.66,16.02,1.06,1.19,1.11,49.1,"MOD-00027",26.5,"2022-07-20T00:04:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731410"
"6","2022-07-19T20:05:25",2048,619.5,154,773.5,673.9,18,691.9,1646.3,-1.09999999999991,1645.2,1646.4,0.799999999999955,1646,NA,NA,49.1,26.5,0,0,304.875,0.8,3.9,3.6,5.3637,0.2064,0,0,0,0,0,0,0,0,NA,NA,0.03,NA,NA,NA,NA,0.003,0.003,0,0,0.003,0,0,0.69,0.93,0.77,"MOD-00027","2022-07-20T00:05:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731463",620.37,NA,NA,49.1,26.5,0,0,4764,4766,4765,13.71,9.66,15.73,1.08,1.25,1.08,49.1,"MOD-00027",26.5,"2022-07-20T00:05:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731411"
"7","2022-07-19T20:06:25",2048,621,152.4,773.4,673.8,18.2,692,1646.3,-1,1645.3,1646.3,0.799999999999955,1646.1,NA,NA,49.2,26.5,0,0,296,1.4,2.5,2.5,5.023,0.1992,0,0,0,0,0,0,0,0,NA,NA,0.0204,NA,NA,NA,NA,0,0,0,0.0028,0,0,0,0.64,0.74,0.69,"MOD-00027","2022-07-20T00:06:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731464",613.73,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.76,12.08,15.69,1.04,1.1,1.06,49.2,"MOD-00027",26.5,"2022-07-20T00:06:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731412"
"8","2022-07-19T20:07:25",2048,621.9,151.1,773,673.4,18,691.4,1646.4,-1,1645.4,1646.4,0.699999999999818,1646.1,NA,NA,49.2,26.5,0,0,271.875,1.1,3.4,3.4,5.0188,0.1902,0,0,0,0,0,0,0,0,NA,NA,0.0168,NA,NA,NA,NA,0.0056,0,0,0,0,0,0,0.64,0.66,0.66,"MOD-00027","2022-07-20T00:07:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731841",608.39,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.67,12.08,15.4,0.96,0.96,0.96,49.2,"MOD-00027",26.5,"2022-07-20T00:07:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731789"
"9","2022-07-19T20:08:25",2048,621.6,151.4,773,673.7,17.9,691.6,1646.3,-1,1645.3,1646.8,0.900000000000091,1646.2,NA,NA,49.2,26.5,0,0,328.25,0.4,4.2,4.1,5.0604,0.1715,0,0,0,0,0,0,0,0,NA,NA,0.0257,NA,NA,NA,NA,0.0085,0,0,0,0,0,0.0058,0.64,2.23,0.71,"MOD-00027","2022-07-20T00:08:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731842",609.62,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.55,12.08,15.98,1.16,4.4,1.16,49.2,"MOD-00027",26.5,"2022-07-20T00:08:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731790"
"10","2022-07-19T20:09:25",2048,621,151.6,772.6,674,17.9,691.9,1646.3,-1.09999999999991,1645.2,1646.5,0.899999999999864,1646.1,NA,NA,49.2,26.5,0,0,290.875,0.5,3.2,3,5.0817,0.2222,0,0,0,0,0,0,0,0,NA,NA,0.0231,NA,NA,NA,NA,0.0029,0.0057,0,0,0,0,0,0.66,0.71,0.71,"MOD-00027","2022-07-20T00:09:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9731843",610.45,NA,NA,49.2,26.5,0,0,4764,4766,4765,13.55,9.95,15.98,1.03,1.04,1.04,49.2,"MOD-00027",26.5,"2022-07-20T00:09:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9731791"
